Numfront:	
61	

AUGMECON-II:	9
545.69071	412.43668
580.30118	407.15804
583.62475	403.80217
585.20545	401.95141
586.92475	397.23363
588.70621	393.09150
592.26912	384.87295
661.49005	379.59431
724.30561	376.39069
	
NSGA-II_1:	9
545.69071	412.43668
580.30118	407.15804
583.62475	403.80217
585.20545	401.95141
586.92475	397.23363
588.70621	393.09150
592.26912	384.87295
661.49005	379.59431
724.30561	376.39069
	
NSGA-II_2:	9
545.69071	412.43668
580.30118	407.15804
583.62475	403.80217
585.20545	401.95141
586.92475	397.23363
588.70621	393.09150
592.26912	384.87295
661.49005	379.59431
724.30561	376.39069
	
NSGA-II_3:	9
545.69071	412.43668
580.30118	407.15804
583.62475	403.80217
585.20545	401.95141
586.92475	397.23363
588.70621	393.09150
592.26912	384.87295
661.49005	379.59431
724.30561	376.39069
	
NSGA-II_4:	9
545.69071	412.43668
580.30118	407.15804
583.62475	403.80217
585.20545	401.95141
586.92475	397.23363
588.70621	393.09150
592.26912	384.87295
661.49005	379.59431
724.30561	376.39069
	
NSGA-II_5:	9
545.69071	412.43668
580.30118	407.15804
583.62475	403.80217
585.20545	401.95141
586.92475	397.23363
588.70621	393.09150
592.26912	384.87295
661.49005	379.59431
724.30561	376.39069
	
NSGA-II_6:	9
545.69071	412.43668
580.30118	407.15804
583.62475	403.80217
585.20545	401.95141
586.92475	397.23363
588.70621	393.09150
592.26912	384.87295
661.49005	379.59431
724.30561	376.39069
	
NSGA-II_7:	9
545.69071	412.43668
580.30118	407.15804
583.62475	403.80217
585.20545	401.95141
586.92475	397.23363
588.70621	393.09150
592.26912	384.87295
661.49005	379.59431
724.30561	376.39069
	
NSGA-II_8:	9
545.69071	412.43668
580.30118	407.15804
583.62475	403.80217
585.20545	401.95141
586.92475	397.23363
588.70621	393.09150
592.26912	384.87295
661.49005	379.59431
724.30561	376.39069
	
NSGA-II_9:	9
545.69071	412.43668
580.30118	407.15804
583.62475	403.80217
585.20545	401.95141
586.92475	397.23363
588.70621	393.09150
592.26912	384.87295
661.49005	379.59431
724.30561	376.39069
	
NSGA-II_10:	9
545.69071	412.43668
580.30118	407.15804
583.62475	403.80217
585.20545	401.95141
586.92475	397.23363
588.70621	393.09150
592.26912	384.87295
661.49005	379.59431
724.30561	376.39069
	
NSGA-II_11:	9
545.69071	412.43668
580.30118	407.15804
583.62475	403.80217
585.20545	401.95141
586.92475	397.23363
588.70621	393.09150
592.26912	384.87295
661.49005	379.59431
724.30561	376.39069
	
NSGA-II_12:	9
545.69071	412.43668
580.30118	407.15804
583.62475	403.80217
585.20545	401.95141
586.92475	397.23363
588.70621	393.09150
592.26912	384.87295
661.49005	379.59431
724.30561	376.39069
	
NSGA-II_13:	9
545.69071	412.43668
580.30118	407.15804
583.62475	403.80217
585.20545	401.95141
586.92475	397.23363
588.70621	393.09150
592.26912	384.87295
661.49005	379.59431
724.30561	376.39069
	
NSGA-II_14:	9
545.69071	412.43668
580.30118	407.15804
583.62475	403.80217
585.20545	401.95141
586.92475	397.23363
588.70621	393.09150
592.26912	384.87295
661.49005	379.59431
724.30561	376.39069
	
NSGA-II_15:	9
545.69071	412.43668
580.30118	407.15804
583.62475	403.80217
585.20545	401.95141
586.92475	397.23363
588.70621	393.09150
592.26912	384.87295
661.49005	379.59431
724.30561	376.39069
	
NSGA-II_16:	9
545.69071	412.43668
580.30118	407.15804
583.62475	403.80217
585.20545	401.95141
586.92475	397.23363
588.70621	393.09150
592.26912	384.87295
661.49005	379.59431
724.30561	376.39069
	
NSGA-II_17:	9
545.69071	412.43668
580.30118	407.15804
583.62475	403.80217
585.20545	401.95141
586.92475	397.23363
588.70621	393.09150
592.26912	384.87295
661.49005	379.59431
724.30561	376.39069
	
NSGA-II_18:	9
545.69071	412.43668
580.30118	407.15804
583.62475	403.80217
585.20545	401.95141
586.92475	397.23363
588.70621	393.09150
592.26912	384.87295
661.49005	379.59431
724.30561	376.39069
	
NSGA-II_19:	9
545.69071	412.43668
580.30118	407.15804
583.62475	403.80217
585.20545	401.95141
586.92475	397.23363
588.70621	393.09150
592.26912	384.87295
661.49005	379.59431
724.30561	376.39069
	
NSGA-II_20:	9
545.69071	412.43668
580.30118	407.15804
583.62475	403.80217
585.20545	401.95141
586.92475	397.23363
588.70621	393.09150
592.26912	384.87295
661.49005	379.59431
724.30561	376.39069
	
NSGA-II_21:	9
545.69071	412.43668
580.30118	407.15804
583.62475	403.80217
585.20545	401.95141
586.92475	397.23363
588.70621	393.09150
592.26912	384.87295
661.49005	379.59431
724.30561	376.39069
	
NSGA-II_22:	9
545.69071	412.43668
580.30118	407.15804
583.62475	403.80217
585.20545	401.95141
586.92475	397.23363
588.70621	393.09150
592.26912	384.87295
661.49005	379.59431
724.30561	376.39069
	
NSGA-II_23:	9
545.69071	412.43668
580.30118	407.15804
583.62475	403.80217
585.20545	401.95141
586.92475	397.23363
588.70621	393.09150
592.26912	384.87295
661.49005	379.59431
724.30561	376.39069
	
NSGA-II_24:	9
545.69071	412.43668
580.30118	407.15804
583.62475	403.80217
585.20545	401.95141
586.92475	397.23363
588.70621	393.09150
592.26912	384.87295
661.49005	379.59431
724.30561	376.39069
	
NSGA-II_25:	9
545.69071	412.43668
580.30118	407.15804
583.62475	403.80217
585.20545	401.95141
586.92475	397.23363
588.70621	393.09150
592.26912	384.87295
661.49005	379.59431
724.30561	376.39069
	
NSGA-II_26:	9
545.69071	412.43668
580.30118	407.15804
583.62475	403.80217
585.20545	401.95141
586.92475	397.23363
588.70621	393.09150
592.26912	384.87295
661.49005	379.59431
724.30561	376.39069
	
NSGA-II_27:	9
545.69071	412.43668
580.30118	407.15804
583.62475	403.80217
585.20545	401.95141
586.92475	397.23363
588.70621	393.09150
592.26912	384.87295
661.49005	379.59431
724.30561	376.39069
	
NSGA-II_28:	9
545.69071	412.43668
580.30118	407.15804
583.62475	403.80217
585.20545	401.95141
586.92475	397.23363
588.70621	393.09150
592.26912	384.87295
661.49005	379.59431
724.30561	376.39069
	
NSGA-II_29:	9
545.69071	412.43668
580.30118	407.15804
583.62475	403.80217
585.20545	401.95141
586.92475	397.23363
588.70621	393.09150
592.26912	384.87295
661.49005	379.59431
724.30561	376.39069
	
NSGA-II_30:	9
545.69071	412.43668
580.30118	407.15804
583.62475	403.80217
585.20545	401.95141
586.92475	397.23363
588.70621	393.09150
592.26912	384.87295
661.49005	379.59431
724.30561	376.39069
	
Math-AUGMECON-II_1:	9
545.69071	412.43668
580.30118	407.15804
583.62475	403.80217
585.20545	401.95141
724.30561	376.39069
661.49005	379.59431
592.26912	384.87295
588.70621	393.09150
586.92475	397.23363
	
Math-AUGMECON-II_2:	9
545.69071	412.43668
580.30118	407.15804
583.62475	403.80217
585.20545	401.95141
724.30561	376.39069
661.49005	379.59431
592.26912	384.87295
588.70621	393.09150
586.92475	397.23363
	
Math-AUGMECON-II_3:	9
545.69071	412.43668
580.30118	407.15804
583.62475	403.80217
585.20545	401.95141
724.30561	376.39069
661.49005	379.59431
592.26912	384.87295
588.70621	393.09150
586.92475	397.23363
	
Math-AUGMECON-II_4:	9
545.69071	412.43668
580.30118	407.15804
583.62475	403.80217
585.20545	401.95141
724.30561	376.39069
661.49005	379.59431
592.26912	384.87295
588.70621	393.09150
586.92475	397.23363
	
Math-AUGMECON-II_5:	9
545.69071	412.43668
580.30118	407.15804
583.62475	403.80217
585.20545	401.95141
724.30561	376.39069
661.49005	379.59431
592.26912	384.87295
588.70621	393.09150
586.92475	397.23363
	
Math-AUGMECON-II_6:	9
545.69071	412.43668
580.30118	407.15804
583.62475	403.80217
585.20545	401.95141
724.30561	376.39069
661.49005	379.59431
592.26912	384.87295
588.70621	393.09150
586.92475	397.23363
	
Math-AUGMECON-II_7:	9
545.69071	412.43668
580.30118	407.15804
583.62475	403.80217
585.20545	401.95141
724.30561	376.39069
661.49005	379.59431
592.26912	384.87295
588.70621	393.09150
586.92475	397.23363
	
Math-AUGMECON-II_8:	9
545.69071	412.43668
580.30118	407.15804
583.62475	403.80217
585.20545	401.95141
724.30561	376.39069
661.49005	379.59431
592.26912	384.87295
588.70621	393.09150
586.92475	397.23363
	
Math-AUGMECON-II_9:	9
545.69071	412.43668
580.30118	407.15804
583.62475	403.80217
585.20545	401.95141
724.30561	376.39069
661.49005	379.59431
592.26912	384.87295
588.70621	393.09150
586.92475	397.23363
	
Math-AUGMECON-II_10:	9
545.69071	412.43668
580.30118	407.15804
583.62475	403.80217
585.20545	401.95141
724.30561	376.39069
661.49005	379.59431
