Numfront:	
61	

AUGMECON-II:	20
5424.56848	2540.44706
5434.16762	2484.49822
5443.44683	2430.80385
5451.59058	2365.43754
5476.04626	2317.66539
5488.67321	2257.92443
5513.12889	2210.15227
5546.48649	2162.27881
5565.29192	2102.02701
5589.74760	2054.25485
5639.90296	2000.35470
5676.94121	1937.60943
5714.29920	1892.45567
5769.15915	1834.88278
5809.41793	1782.44936
5904.71628	1728.23736
6081.47328	1675.34536
6228.12020	1619.92418
6511.41901	1567.86392
6966.32132	1510.35995
	
NSGA-II_1:	78
7395.62802	1478.98255
5470.38635	2569.99479
6921.65496	1521.02321
7335.58413	1486.62187
5767.12680	1850.29441
5503.15456	2383.63794
5495.10342	2409.88043
6440.80318	1590.60538
5556.82149	2170.35985
5800.90681	1840.94736
6529.44870	1588.67408
5483.20592	2447.98293
6080.48463	1681.98111
6408.62950	1601.66816
6367.84729	1605.54006
6000.05920	1685.79642
7134.39371	1503.61978
7239.37785	1493.81389
5662.31098	1975.04422
6112.65831	1670.91833
5503.18619	2352.03098
5544.21331	2228.46235
5618.48995	2068.58522
5472.77300	2526.99273
5882.34584	1744.72083
6239.96650	1659.91787
5480.81926	2490.98498
6182.19123	1665.79642
5918.03835	1706.61834
5914.51953	1733.65806
6739.52293	1541.02321
5519.70723	2309.47993
6692.68102	1554.09457
5748.01810	1893.21843
5718.54625	1901.58274
5802.81931	1812.19191
5630.38745	2030.48273
5872.20243	1773.70038
6248.93178	1645.97339
5682.85374	1939.68524
6298.77894	1636.21425
5476.67665	2525.78257
6318.12103	1623.17138
6579.68758	1580.90284
5640.18444	2002.91768
5950.21204	1695.55556
5705.63648	1931.58274
7182.88927	1496.38598
5544.92399	2208.46235
5495.07179	2441.48739
7270.13241	1492.67739
6637.27772	1562.46071
5709.58097	1915.52723
5529.88227	2248.89343
6849.11801	1537.82348
7074.34982	1511.25910
6978.14354	1518.45111
5673.54204	1955.04422
5566.25423	2161.38031
5589.09145	2113.50685
5756.98339	1879.27395
5829.45537	1811.41973
5507.84136	2315.97547
5856.46246	1794.07588
6796.01150	1538.45111
5833.76529	1796.00917
5566.96491	2141.38031
7031.51180	1515.24948
5519.73886	2277.87297
5600.32250	2093.50685
6878.40733	1531.32067
5857.17313	1774.07588
6619.72513	1569.02925
5519.73886	2277.87297
5672.71033	1968.66478
6335.67361	1616.60284
7364.87345	1480.11906
7103.63914	1504.75628
	
NSGA-II_2:	75
7303.93216	1476.51878
5484.24635	2423.96797
5496.58900	2308.20812
7257.09169	1486.81428
5683.21762	1934.50265
7160.50861	1490.21361
5718.24369	1876.40016
5944.29950	1693.47975
6561.07367	1582.36978
6486.50470	1585.56951
5675.87396	1967.99296
6176.27870	1663.72061
6389.10611	1607.06674
5530.70247	2238.95690
5495.98052	2348.83070
6065.21694	1679.77612
6599.10381	1570.69143
5919.02701	1699.98257
6106.74578	1668.84253
6318.03584	1611.01122
5994.14667	1683.72061
5623.10520	2006.38139
5507.82005	2288.20812
5535.25543	2182.27881
5488.08862	2377.81024
5781.67844	1836.60737
5531.31095	2198.33433
5487.48014	2418.43282
6914.58549	1519.97079
6879.13540	1519.97275
7092.09187	1501.15600
7022.55895	1506.27791
6832.29492	1530.26825
6766.53629	1534.85083
5694.44868	1914.50265
5714.29920	1892.45567
5809.41793	1782.44936
5607.92966	2042.43690
5911.61747	1723.67740
7269.84933	1481.63874
6845.05256	1525.09271
6234.10585	1625.89032
6224.33110	1642.76107
5602.65443	2106.45559
5590.74393	2116.25519
5885.70200	1767.00247
6682.60629	1549.72993
6190.24826	1647.88103
5646.90021	1968.27889
5851.68717	1767.03880
5714.27945	1912.43060
5527.46868	2244.49206
6732.45345	1539.97079
6268.18868	1620.77036
6436.65753	1595.32865
5604.53048	2059.87169
5546.48649	2162.27881
5776.03377	1858.23625
5604.08739	2088.59463
5889.64649	1750.94695
5514.12522	2272.15261
6978.37658	1510.21361
5570.28150	2124.17632
6638.53795	1563.23400
5805.47345	1798.50487
5785.62293	1820.55186
5642.95572	1984.33441
5566.33701	2140.23183
5492.74673	2354.36585
7121.80013	1496.51878
5760.51292	1860.98959
6473.74706	1590.74505
6670.28462	1557.36925
5520.29049	2265.41636
6948.66832	1514.85083
	
NSGA-II_3:	86
7303.93216	1476.51878
5461.27225	2423.22172
7257.09169	1486.81428
6176.27870	1663.72061
5851.68717	1767.03880
6766.53629	1534.85083
5469.77263	2353.61960
7160.50861	1490.21361
5583.47397	2090.20906
5506.85526	2246.10648
5494.22832	2305.84744
6065.21694	1679.77612
6978.37658	1510.21361
5994.14667	1683.72061
6600.94641	1582.42951
6190.24826	1647.88103
5944.29950	1693.47975
6234.10585	1625.89032
5908.60699	1731.58225
6948.66832	1514.85083
6389.10611	1607.06674
5912.12582	1704.54253
6318.03584	1611.01122
6529.87614	1586.37400
5642.95572	1984.33441
5876.43331	1742.64503
6106.74578	1668.84253
6430.63495	1596.13314
5583.44234	2121.81602
5589.74760	2054.25485
5531.31095	2198.33433
5463.60140	2403.32302
5840.84150	1787.65427
6832.29492	1530.26825
6466.08504	1596.13119
5796.90678	1810.11610
5506.82363	2277.71344
5467.54589	2387.26751
5607.92966	2042.43690
6716.68912	1544.60997
6268.18868	1620.77036
6634.64578	1572.84228
5546.48649	2162.27881
6224.33110	1642.76107
7269.84933	1481.63874
6845.05256	1525.09271
6682.60629	1549.72993
5708.68923	1915.56245
5676.94121	1937.60943
6106.74578	1668.84253
6396.55212	1601.25310
5560.13485	2160.33405
5636.75355	2004.43662
5827.85276	1793.93336
5788.21577	1848.09137
5613.54261	2016.15235
5712.63372	1899.50693
5727.22878	1894.94357
5761.21427	1848.21860
5499.84127	2279.56289
5731.17326	1878.88806
5757.26978	1864.27411
5672.99672	1953.66494
5646.90021	1968.27889
5820.99098	1809.70126
5940.83445	1701.11907
5570.28150	2124.17632
5513.12889	2210.15227
5476.04626	2317.66539
6669.84865	1554.90548
5792.16025	1832.03586
5623.10520	2006.38139
7126.42578	1495.33357
6879.13540	1519.97275
7058.00904	1506.27596
7022.55895	1506.27791
6914.58549	1519.97079
7087.71729	1501.63874
6732.45345	1539.97079
6283.95301	1616.13119
6495.79330	1591.49396
5566.33701	2140.23183
5535.25543	2182.27881
5509.18441	2226.20778
5472.10178	2333.72090
5585.80312	2070.31036
	
NSGA-II_4:	74
7997.31698	1478.17441
5458.75217	2420.70164
7247.69454	1480.60082
5718.24369	1876.40016
6176.27870	1663.72061
5502.10844	2277.23431
5919.02701	1699.98257
6189.00857	1648.03971
5805.41429	1807.27187
5531.31095	2198.33433
6106.74578	1668.84253
6488.18745	1600.09773
7065.56250	1500.60082
6924.79248	1521.29355
6256.20825	1629.85687
5636.75355	2004.43662
5908.60699	1731.58225
6065.21694	1679.77612
5809.41793	1782.44936
5585.80312	2070.31036
5509.18441	2226.20778
5785.62293	1820.55186
5613.54261	2016.15235
6377.12568	1616.15325
6418.65452	1605.21965
7209.16403	1490.35995
6306.05541	1620.09773
6853.72221	1525.23804
5469.74716	2387.10811
5513.12889	2210.15227
5669.99299	1962.27481
5578.72714	2121.33689
5536.92390	2172.04978
6602.94134	1567.91514
5469.77263	2353.61960
6966.32132	1510.35995
5684.88609	1924.27362
5994.14667	1683.72061
5646.90021	1968.27889
5583.47397	2090.20906
5506.85526	2246.10648
6744.18791	1543.42088
5713.96428	1906.00975
6803.87505	1534.99718
7035.85424	1505.23804
7136.63277	1496.65633
5768.11546	1843.65863
5851.68717	1767.03880
6598.99685	1583.97065
5710.01980	1922.06526
5560.13485	2160.33405
6803.87505	1534.99718
5494.22832	2305.84744
5474.97848	2332.00517
6238.85573	1638.28057
7136.63277	1496.65633
6956.02820	1518.78366
6081.47328	1675.34534
6517.89571	1595.46051
6652.78850	1558.15600
6694.34075	1553.18002
5968.87417	1690.22343
5883.33450	1738.08506
5566.33701	2140.23183
5472.10178	2333.72090
5609.59812	2032.20787
5589.74760	2054.25485
5678.27177	1944.11224
6573.38293	1586.09798
5642.95572	1984.33441
5867.12708	1753.49562
5781.67844	1836.60737
5764.17097	1859.71415
5462.69666	2404.64612
	
NSGA-II_5:	78
7303.93216	1476.51878
5456.89644	2527.93900
5458.57242	2504.93694
5460.37064	2420.80294
6556.27873	1583.76278
5583.47397	2090.20906
7252.29674	1488.20728
6318.03584	1611.01122
6176.27870	1663.72061
6106.74578	1668.84253
5476.04626	2317.66539
5919.02701	1699.98257
5968.87417	1690.22343
7160.50861	1490.21361
5908.60699	1731.58225
6065.21694	1679.77612
5809.41793	1782.44936
