param n=100;
param m=4;
param K = 18;
param Q = 60;
param L =41;
param HC:= 
1 260.304
2 243.461
3 258.764
4 216.611;

param o:
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100:=
1	44.72135955	130.3840481	236.0084744	41.23105626	78.10249676	60.8276253	142.126704	70.71067812	92.19544457	120.4159458	111.8033989	60.8276253	50.99019514	82.46211251	150.3329638	120.8304597	130.3840481	186.0107524	194.1648784	160.3121954	82.46211251	178.0449381	192.3538406	110	133.4166406	138.9244399	125.2996409	42.42640687	94.33981132	126.4911064	136.0147051	148.6606875	107.7032961	85.44003745	140	20	114.0175425	90	166.4331698	70.71067812	192.3538406	63.2455532	50.99019514	60	70	152.3154621	110	70.71067812	210	212.6029163	197.2308292	210.9502311	150.3329638	208.0865205	36.05551275	10	160	30	126.4911064	150	237.0653918	111.8033989	161.5549442	180	164.924225	120.8304597	116.6190379	125.2996409	72.80109889	42.42640687	58.30951895	160.3121954	50.99019514	36.05551275	120.8304597	108.1665383	102.9563014	264.0075756	155.5634919	160.3121954	80	170.2938637	206.1552813	192.0937271	44.72135955	162.788206	60	139.2838828	164.924225	161.245155	85.44003745	126.4911064	107.7032961	183.5755975	155.5634919	130	36.05551275	152.6433752	94.86832981	201.246118
2	85.44003745	170	254.5584412	80	107.7032961	101.9803903	170	110	130.3840481	158.113883	127.2792206	70.71067812	64.03124237	92.19544457	190	134.5362405	161.5549442	205.1828453	223.6067977	200.9975124	108.1665383	198.4943324	193.1320792	107.7032961	120.4159458	155.5634919	158.113883	41.23105626	126.4911064	110	174.9285568	186.0107524	143.1782106	98.99494937	136.0147051	41.23105626	143.1782106	89.4427191	205.9126028	41.23105626	180.2775638	92.19544457	67.08203932	80.62257748	72.11102551	193.1320792	126.4911064	98.48857802	203.9607805	234.3074903	212.6029163	226.715681	148.6606875	226.27417	14.14213562	40	155.241747	44.72135955	136.0147051	145.6021978	250	152.3154621	202.4845673	174.642492	170	150	134.5362405	141.4213562	114.0175425	80.62257748	41.23105626	158.113883	22.36067977	28.28427125	120.4159458	147.6482306	136.0147051	282.8427125	192.0937271	152.9705854	80.62257748	162.788206	216.3330765	212.6029163	30	150.3329638	100.4987562	174.642492	150	151.3274595	126.4911064	162.788206	136.0147051	198.4943324	180.2775638	126.4911064	63.2455532	192.3538406	131.5294644	214.0093456
3	161.245155	228.4731932	130	131.5294644	98.48857802	155.241747	102.9563014	139.2838828	206.1552813	230.8679276	50	80.62257748	90.55385138	223.6067977	183.8477631	42.42640687	114.0175425	90.55385138	143.1782106	205.1828453	220	90	50.99019514	36.05551275	50.99019514	53.85164807	120.4159458	177.2004515	108.1665383	63.2455532	237.6972865	256.3201124	128.0624847	60.8276253	20	121.6552506	98.99494937	53.85164807	259.4224354	114.0175425	70.71067812	200	192.3538406	200.9975124	72.80109889	233.2380758	250.7987241	94.86832981	72.80109889	121.6552506	85.44003745	98.48857802	14.14213562	104.4030651	130	131.5294644	28.28427125	111.8033989	28.28427125	22.36067977	114.0175425	206.1552813	238.5372088	44.72135955	28.28427125	251.7935662	56.56854249	50	167.6305461	170.2938637	102.9563014	22.36067977	165.5294536	117.0469991	259.6150997	211.896201	114.0175425	156.5247584	265.7066051	36.05551275	63.2455532	42.42640687	78.10249676	100.4987562	170.8800749	53.85164807	145.6021978	142.126704	63.2455532	44.72135955	180.2775638	141.4213562	240.8318916	72.80109889	94.86832981	22.36067977	110	245.9674775	130.3840481	80.62257748
4	210.9502311	233.4523506	31.6227766	186.0107524	142.126704	192.3538406	80.62257748	170	234.0939982	247.3863375	116.6190379	172.0465053	178.0449381	294.1088234	150	111.8033989	98.48857802	41.23105626	50.99019514	170.2938637	272.9468813	44.72135955	123.6931688	158.113883	182.4828759	89.4427191	107.7032961	261.7250466	130.3840481	194.1648784	243.3105012	263.0589288	130	144.222051	151.3274595	205.1828453	108.1665383	165.5294536	250.1999201	228.2542442	182.4828759	255.5386468	264.0075756	266.2705391	174.9285568	220.2271555	308.8689042	148.6606875	158.113883	10	50.99019514	44.72135955	140.3566885	31.6227766	228.035085	212.1320344	150	198.4943324	117.0469991	150.3329638	64.03124237	215.8703314	220	151.3274595	110	287.923601	108.1665383	102.9563014	196.977156	224.7220505	210.9502311	140	262.488095	214.0093456	336.0059523	228.035085	125.2996409	50.99019514	272.9468813	160	170	160.3121954	76.15773106	31.6227766	261.7250466	180	183.5755975	111.8033989	190	170	202.4845673	123.6931688	282.3118843	60	64.03124237	152.9705854	183.8477631	240.8318916	143.1782106	63.2455532;

param cost:
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100:=
1	0	86.02325267	232.594067	30	72.80109889	22.36067977	130.3840481	42.42640687	50	78.10249676	120.4159458	85.44003745	76.15773106	84.85281374	114.0175425	130.3840481	114.0175425	183.8477631	176.9180601	120.4159458	63.2455532	174.642492	210.2379604	136.0147051	165.5294536	143.1782106	106.3014581	70.71067812	80.62257748	161.245155	92.19544457	106.3014581	84.85281374	100.4987562	164.924225	56.56854249	102.9563014	117.0469991	122.0655562	114.0175425	221.3594362	44.72135955	58.30951895	56.56854249	98.48857802	107.7032961	98.48857802	70.71067812	233.4523506	205.9126028	199.2485885	211.896201	172.626765	206.1552813	80.62257748	50	184.3908891	64.03124237	140	174.642492	240.4163056	67.08203932	117.0469991	203.9607805	180	90.55385138	121.6552506	131.5294644	30	14.14213562	98.99494937	182.4828759	90.55385138	78.10249676	127.2792206	64.03124237	86.02325267	259.4224354	114.0175425	186.8154169	107.7032961	196.468827	213.7755833	187.8829423	80	193.1320792	28.28427125	114.0175425	196.977156	189.7366596	41.23105626	100	80	186.8154169	147.6482306	155.241747	53.85164807	108.1665383	70.71067812	206.1552813
2	86.02325267	0	261.7250466	106.3014581	130	78.10249676	160	89.4427191	41.23105626	22.36067977	180.2775638	164.0121947	156.2049935	130.3840481	89.4427191	189.7366596	140	220	186.8154169	78.10249676	90.55385138	210	272.0294102	210.9502311	244.1311123	194.1648784	130	145.6021978	123.6931688	242.0743687	10	30	110.4536102	170	237.0653918	142.126704	141.4213562	194.1648784	36.05551275	200	295.2964612	90.55385138	121.6552506	110.4536102	178.0449381	31.6227766	117.0469991	134.1640786	300.8321791	231.9482701	240.208243	250	241.6609195	240.208243	166.4331698	136.0147051	254.9509757	148.6606875	202.4845673	245.9674775	280	22.36067977	41.23105626	273.1300057	240.4163056	72.11102551	177.2004515	186.8154169	64.03124237	89.4427191	184.3908891	250.7987241	170.8800749	164.0121947	164.924225	22.36067977	121.6552506	284.4292531	40	259.4224354	186.0107524	268.3281573	261.7250466	220.2271555	158.113883	269.2582404	86.02325267	121.6552506	274.5906044	264.1968963	50	110.4536102	76.15773106	230.8679276	180	228.2542442	134.5362405	22.36067977	101.9803903	250.7987241
3	232.594067	261.7250466	0	205.9126028	161.245155	215.4065923	104.4030651	193.1320792	259.6150997	274.5906044	127.2792206	183.8477631	191.0497317	313.8470965	180.2775638	120.4159458	123.6931688	50	82.46211251	200.9975124	295.4657341	58.30951895	110	161.245155	180.2775638	98.99494937	133.4166406	278.0287755	152.3154621	193.1320792	271.6615541	291.5475947	155.241747	155.5634919	148.6606875	220.2271555	130	172.0465053	280	236.0084744	170	277.3084925	283.019434	286.5309756	184.3908891	250	331.0589071	166.4331698	141.4213562	30	44.72135955	31.6227766	136.0147051	28.28427125	240.4163056	228.035085	143.1782106	212.6029163	122.0655562	145.6021978	36.05551275	243.3105012	250.1999201	140.3566885	104.4030651	313.2091953	120.4159458	113.137085	221.3594362	245.9674775	220.2271555	133.4166406	275.8622845	226.27417	355.1056181	254.9509757	148.6606875	28.28427125	301.4962686	152.9705854	178.0449381	151.3274595	60	44.72135955	276.5863337	172.626765	206.1552813	140.3566885	182.4828759	162.788206	228.035085	151.3274595	306.757233	58.30951895	85.44003745	152.3154621	200	270.1851217	167.6305461	50.99019514
