Numfront:	
61	

AUGMECON-II:	7
4034.86174	1076.07280
4072.48769	1015.96970
4095.49896	1008.38650
4096.47002	1002.44517
4171.78771	999.21323
4224.33909	976.85366
4441.98972	973.77431
	
NSGA-II_1:	1
4438.66509	1017.70762
	
NSGA-II_2:	4
4619.48329	1003.16786
4274.56597	1044.69327
4398.63947	1004.40003
4322.80135	1026.91353
	
NSGA-II_3:	5
4445.18291	975.62149
4034.86174	1076.07280
4072.48769	1015.96970
4224.33909	976.85366
4148.50096	999.36716
	
NSGA-II_4:	6
5057.02798	1016.36041
4359.41291	1069.78886
4370.20293	1066.54330
4414.67076	1026.91928
4779.10754	1017.84439
4454.58807	1025.43530
	
NSGA-II_5:	1
4438.66509	1017.70762
	
NSGA-II_6:	1
4438.66509	1017.70762
	
NSGA-II_7:	5
4616.68561	1010.34387
4209.16212	1103.61916
4246.78808	1043.51607
4394.33741	1029.90973
4471.70838	1011.53011
	
NSGA-II_8:	4
4619.48329	1003.16786
4274.56597	1044.69327
4398.63947	1004.40003
4322.80135	1026.91353
	
NSGA-II_9:	4
4619.48329	1003.16786
4274.56597	1044.69327
4398.63947	1004.40003
4322.80135	1026.91353
	
NSGA-II_10:	4
4768.44065	1011.44219
4534.95014	1124.35215
4544.04580	1019.07351
4741.40240	1018.56801
	
NSGA-II_11:	1
4438.66509	1017.70762
	
NSGA-II_12:	2
4280.28769	997.88894
4240.37038	999.37291
	
NSGA-II_13:	5
4442.38523	982.79750
4241.25130	1084.54102
4297.40800	983.98374
4286.88505	1037.01891
4297.03729	1035.03978
	
NSGA-II_14:	2
4345.87703	977.98217
4345.87703	977.98217
	
NSGA-II_15:	1
4345.87703	977.98217
	
NSGA-II_16:	4
4818.14628	1019.72646
4592.94003	1132.63642
4593.75143	1027.35778
4791.10802	1026.85228
	
NSGA-II_17:	6
4616.68561	1010.34387
4392.66547	1094.38920
4471.70838	1011.53011
4471.33768	1062.58615
4419.70372	1087.26338
4461.18543	1064.56527
	
NSGA-II_18:	3
4612.96547	1045.25399
4548.69851	1102.47123
4601.95428	1100.98726
	
NSGA-II_19:	3
4445.18291	975.62149
4148.50096	999.36716
4224.33909	976.85366
	
NSGA-II_20:	2
4345.87703	977.98217
4345.87703	977.98217
	
NSGA-II_21:	6
4616.68561	1010.34387
4392.66547	1094.38920
4471.70838	1011.53011
4471.33768	1062.58615
4419.70372	1087.26338
4461.18543	1064.56527
	
NSGA-II_22:	3
4445.18291	975.62149
4148.50096	999.36716
4224.33909	976.85366
	
NSGA-II_23:	5
4445.18291	975.62149
4034.86174	1076.07280
4224.33909	976.85366
4072.48769	1015.96970
4148.50096	999.36716
	
NSGA-II_24:	3
4445.18291	975.62149
4148.50096	999.36716
4224.33909	976.85366
	
NSGA-II_25:	6
4616.68561	1010.34387
4392.66547	1094.38920
4471.70838	1011.53011
4471.33768	1062.58615
4419.70372	1087.26338
4461.18543	1064.56527
	
NSGA-II_26:	1
4438.66509	1017.70762
	
NSGA-II_27:	5
4442.38523	982.79750
4241.25130	1084.54102
4297.40800	983.98374
4286.88505	1037.01891
4297.03729	1035.03978
	
NSGA-II_28:	5
4619.48329	1003.16786
4209.16212	1103.61916
4246.78808	1043.51607
4398.63947	1004.40003
4322.80135	1026.91353
	
NSGA-II_29:	6
4556.90037	1019.36605
4377.11505	1074.53028
4450.79384	1029.93258
4395.60184	1070.16168
4491.01478	1020.55228
4463.97652	1027.67811
	
NSGA-II_30:	1
4438.66509	1017.70762
	
Math-AUGMECON-II_1:	1
4072.48769	1015.96970
	
Math-AUGMECON-II_2:	3
4441.98972	973.77431
4224.33909	976.85366
4072.48769	1015.96970
	
Math-AUGMECON-II_3:	5
4441.98972	973.77431
4224.33909	976.85366
4148.50096	999.36716
4072.48769	1015.96970
4034.86174	1076.07280
	
Math-AUGMECON-II_4:	3
4441.98972	973.77431
4224.33909	976.85366
4072.48769	1015.96970
	
Math-AUGMECON-II_5:	1
4072.48769	1015.96970
	
Math-AUGMECON-II_6:	2
4224.33909	976.85366
4072.48769	1015.96970
	
Math-AUGMECON-II_7:	4
4441.98972	973.77431
4224.33909	976.85366
4072.48769	1015.96970
4034.86174	1076.07280
	
Math-AUGMECON-II_8:	3
4441.98972	973.77431
4224.33909	976.85366
4072.48769	1015.96970
	
Math-AUGMECON-II_9:	3
4441.98972	973.77431
4224.33909	976.85366
4072.48769	1015.96970
	
Math-AUGMECON-II_10:	3
4441.98972	973.77431
4072.48769	1015.96970
4034.86174	1076.07280
	
Math-AUGMECON-II_11:	1
4072.48769	1015.96970
	
Math-AUGMECON-II_12:	2
4224.33909	976.85366
4148.50096	999.36716
	
Math-AUGMECON-II_13:	4
4441.98972	973.77431
4224.33909	976.85366
4072.48769	1015.96970
4034.86174	1076.07280
	
Math-AUGMECON-II_14:	1
4224.33909	976.85366
	
Math-AUGMECON-II_15:	1
4224.33909	976.85366
	
Math-AUGMECON-II_16:	3
4441.98972	973.77431
4072.48769	1015.96970
4034.86174	1076.07280
	
Math-AUGMECON-II_17:	3
4441.98972	973.77431
4072.48769	1015.96970
4034.86174	1076.07280
	
Math-AUGMECON-II_18:	2
4441.98972	973.77431
4034.86174	1076.07280
	
Math-AUGMECON-II_19:	3
4441.98972	973.77431
4224.33909	976.85366
4148.50096	999.36716
	
Math-AUGMECON-II_20:	1
4224.33909	976.85366
	
Math-AUGMECON-II_21:	3
4441.98972	973.77431
4072.48769	1015.96970
4034.86174	1076.07280
	
Math-AUGMECON-II_22:	3
4441.98972	973.77431
4224.33909	976.85366
4148.50096	999.36716
	
Math-AUGMECON-II_23:	5
4441.98972	973.77431
4224.33909	976.85366
4148.50096	999.36716
4072.48769	1015.96970
4034.86174	1076.07280
	
Math-AUGMECON-II_24:	3
4441.98972	973.77431
4224.33909	976.85366
4148.50096	999.36716
	
Math-AUGMECON-II_25:	3
4441.98972	973.77431
4072.48769	1015.96970
4034.86174	1076.07280
	
Math-AUGMECON-II_26:	1
4072.48769	1015.96970
	
Math-AUGMECON-II_27:	4
4441.98972	973.77431
4224.33909	976.85366
4072.48769	1015.96970
4034.86174	1076.07280
	
Math-AUGMECON-II_28:	4
4441.98972	973.77431
4224.33909	976.85366
4072.48769	1015.96970
4034.86174	1076.07280
	
Math-AUGMECON-II_29:	2
4441.98972	973.77431
4072.48769	1015.96970
	
Math-AUGMECON-II_30:	1
4072.48769	1015.96970
