Numfront:	
61	
	
AUGMECON-II:	4
1498.11442	634.83901
1554.21124	632.59109
2190.66190	628.58044
2447.23843	612.64976
	
NSGA-II_1:	3
2510.71624	620.58449
1498.11442	634.83901
1554.21124	632.59109
	
NSGA-II_2:	2
1554.21124	632.59109
1498.11442	634.83901
	
NSGA-II_3:	3
1677.22060	633.14494
1531.96462	646.12241
1560.50240	640.29438
	
NSGA-II_4:	2
1554.21124	632.59109
1498.11442	634.83901
	
NSGA-II_5:	4
2447.23843	612.64976
1498.11442	634.83901
2190.66190	628.58044
1554.21124	632.59109
	
NSGA-II_6:	2
1554.21124	632.59109
1498.11442	634.83901
	
NSGA-II_7:	4
2447.23843	612.64976
1498.11442	634.83901
2190.66190	628.58044
1554.21124	632.59109
	
NSGA-II_8:	2
1554.21124	632.59109
1498.11442	634.83901
	
NSGA-II_9:	4
2447.23843	612.64976
1498.11442	634.83901
1554.21124	632.59109
2190.66190	628.58044
	
NSGA-II_10:	2
1554.21124	632.59109
1498.11442	634.83901
	
NSGA-II_11:	2
1554.21124	632.59109
1498.11442	634.83901
	
NSGA-II_12:	2
1560.50240	640.29438
1538.61715	694.39544
	
NSGA-II_13:	3
2510.71624	620.58449
1498.11442	634.83901
1554.21124	632.59109
	
NSGA-II_14:	4
2447.23843	612.64976
1498.11442	634.83901
1554.21124	632.59109
2190.66190	628.58044
	
NSGA-II_15:	2
1560.50240	640.29438
1538.61715	694.39544
	
NSGA-II_16:	3
2510.71624	620.58449
1498.11442	634.83901
1554.21124	632.59109
	
NSGA-II_17:	4
2447.23843	612.64976
1498.11442	634.83901
2190.66190	628.58044
1554.21124	632.59109
	
NSGA-II_18:	4
2447.23843	612.64976
1498.11442	634.83901
2190.66190	628.58044
1554.21124	632.59109
	
NSGA-II_19:	2
1554.21124	632.59109
1498.11442	634.83901
	
NSGA-II_20:	2
1554.21124	632.59109
1498.11442	634.83901
	
NSGA-II_21:	3
2510.71624	620.58449
1498.11442	634.83901
1554.21124	632.59109
	
NSGA-II_22:	3
2510.71624	620.58449
1498.11442	634.83901
1554.21124	632.59109
	
NSGA-II_23:	2
1554.21124	632.59109
1498.11442	634.83901
	
NSGA-II_24:	4
2447.23843	612.64976
1498.11442	634.83901
2190.66190	628.58044
1554.21124	632.59109
	
NSGA-II_25:	2
1554.21124	632.59109
1498.11442	634.83901
	
NSGA-II_26:	2
1554.21124	632.59109
1498.11442	634.83901
	
NSGA-II_27:	4
2447.23843	612.64976
1498.11442	634.83901
1554.21124	632.59109
2190.66190	628.58044
	
NSGA-II_28:	2
1554.21124	632.59109
1498.11442	634.83901
	
NSGA-II_29:	4
2447.23843	612.64976
1498.11442	634.83901
1554.21124	632.59109
2190.66190	628.58044
	
NSGA-II_30:	2
1554.21124	632.59109
1498.11442	634.83901
	
Math-AUGMECON-II_1:	3
2447.23842	612.64976
1554.21124	632.59109
1498.11442	634.83901
	
Math-AUGMECON-II_2:	3
1554.21124	632.59109
1498.11442	634.83901
1498.11442	634.83901
	
Math-AUGMECON-II_3:	2
1554.21124	632.59109
1498.11442	634.83901
	
Math-AUGMECON-II_4:	3
1554.21124	632.59109
1498.11442	634.83901
1498.11442	634.83901
	
Math-AUGMECON-II_5:	5
2447.23843	612.64976
2190.66190	628.58044
1554.21124	632.59109
1554.21124	632.59109
1498.11442	634.83901
	
Math-AUGMECON-II_6:	3
1554.21124	632.59109
1498.11442	634.83901
1498.11442	634.83901
	
Math-AUGMECON-II_7:	5
2447.23843	612.64976
2190.66190	628.58044
1554.21124	632.59109
1554.21124	632.59109
1498.11442	634.83901
	
Math-AUGMECON-II_8:	3
1554.21124	632.59109
1498.11442	634.83901
1498.11442	634.83901
	
Math-AUGMECON-II_9:	5
2447.23843	612.64976
2190.66190	628.58044
1554.21124	632.59109
1554.21124	632.59109
1498.11442	634.83901
	
Math-AUGMECON-II_10:	3
1554.21124	632.59109
1498.11442	634.83901
1498.11442	634.83901
	
Math-AUGMECON-II_11:	3
1554.21124	632.59109
1498.11442	634.83901
1498.11442	634.83901
	
Math-AUGMECON-II_12:	3
1554.21124	632.59109
1498.11442	634.83901
1498.11442	634.83901
	
Math-AUGMECON-II_13:	3
2447.23842	612.64976
1554.21124	632.59109
1498.11442	634.83901
	
Math-AUGMECON-II_14:	5
2447.23843	612.64976
2190.66190	628.58044
1554.21124	632.59109
1554.21124	632.59109
1498.11442	634.83901
	
Math-AUGMECON-II_15:	3
1554.21124	632.59109
1498.11442	634.83901
1498.11442	634.83901
	
Math-AUGMECON-II_16:	3
2447.23842	612.64976
1554.21124	632.59109
1498.11442	634.83901
	
Math-AUGMECON-II_17:	5
2447.23843	612.64976
2190.66190	628.58044
1554.21124	632.59109
1554.21124	632.59109
1498.11442	634.83901
	
Math-AUGMECON-II_18:	5
2447.23843	612.64976
2190.66190	628.58044
1554.21124	632.59109
1554.21124	632.59109
1498.11442	634.83901
	
Math-AUGMECON-II_19:	3
1554.21124	632.59109
1498.11442	634.83901
1498.11442	634.83901
	
Math-AUGMECON-II_20:	3
1554.21124	632.59109
1498.11442	634.83901
1498.11442	634.83901
	
Math-AUGMECON-II_21:	3
2447.23842	612.64976
1554.21124	632.59109
1498.11442	634.83901
	
Math-AUGMECON-II_22:	3
2447.23842	612.64976
1554.21124	632.59109
1498.11442	634.83901
	
Math-AUGMECON-II_23:	3
1554.21124	632.59109
1498.11442	634.83901
1498.11442	634.83901
	
Math-AUGMECON-II_24:	5
2447.23843	612.64976
2190.66190	628.58044
1554.21124	632.59109
1554.21124	632.59109
1498.11442	634.83901
	
Math-AUGMECON-II_25:	3
1554.21124	632.59109
1498.11442	634.83901
1498.11442	634.83901
	
Math-AUGMECON-II_26:	3
1554.21124	632.59109
1498.11442	634.83901
1498.11442	634.83901
	
Math-AUGMECON-II_27:	5
2447.23843	612.64976
2190.66190	628.58044
1554.21124	632.59109
1554.21124	632.59109
1498.11442	634.83901
	
Math-AUGMECON-II_28:	3
1554.21124	632.59109
1498.11442	634.83901
1498.11442	634.83901
	
Math-AUGMECON-II_29:	5
2447.23843	612.64976
2190.66190	628.58044
1554.21124	632.59109
1554.21124	632.59109
1498.11442	634.83901
	
Math-AUGMECON-II_30:	3
1554.21124	632.59109
1498.11442	634.83901
1498.11442	634.83901
