Numfront:	
61	
	
AUGMECON-II:	18
6481.61040	2083.75139
6482.50592	2050.95314
6486.54017	2038.35827
6491.07592	2026.52041
6498.76949	2024.89763
6515.75018	2006.92190
6518.02146	1999.72026
6518.37424	1977.05382
6544.25626	1966.33948
6559.40345	1953.97881
6578.12702	1944.07164
6615.26131	1932.06589
6630.40850	1919.70522
6649.13207	1909.79805
6704.70291	1898.60270
6793.67705	1887.05056
6836.58700	1872.84747
6877.81806	1863.36785
	
NSGA-II_1:	60
7226.25572	1866.37348
6860.40788	2195.23662
6863.31896	2129.37875
6866.39032	2060.60981
6863.47924	2126.46768
7175.54505	1868.08921
6889.79615	2033.46364
7005.28120	1928.66796
7147.53903	1884.50606
7030.28082	1927.44550
6895.13363	2010.51686
7122.53941	1885.72853
7079.87135	1909.77782
7058.28683	1911.02864
6947.70761	1977.53146
6926.57111	1985.81573
7166.26260	1874.59890
6995.99876	1935.17766
6917.28866	1992.32543
6907.84753	1995.72289
6898.56509	2002.23259
7005.28120	1928.66796
6977.27519	1945.08482
6882.12687	2058.77277
6995.99188	1936.95223
7089.30561	1908.15493
7113.25009	1894.01280
7166.25572	1876.37348
6964.08365	1958.48905
6886.36469	2041.74791
6960.65220	1966.77332
6942.30766	1983.97869
6960.13917	1972.63119
6885.11389	2050.70265
6938.42517	1984.04116
7113.25697	1892.23822
7039.56326	1920.93580
7048.99751	1919.31291
7103.81584	1895.63569
7156.82147	1877.99637
6885.11389	2050.70265
6886.36469	2041.74791
7049.00439	1917.53834
7156.82147	1877.99637
7151.60056	1882.23134
7094.52652	1903.91996
7098.59493	1899.87066
7089.31249	1906.38036
6973.36609	1951.97936
6986.55763	1938.57512
7122.53941	1885.72853
7055.25285	1915.20815
7094.53340	1902.14538
7036.52927	1925.11531
6960.65220	1966.77332
6973.36609	1951.97936
7147.53903	1884.50606
6977.26831	1946.85940
6967.98587	1953.36909
7055.25285	1915.20815
	
NSGA-II_2:	73
6972.78038	1865.72853
6547.79501	1984.69314
6587.27821	1951.17071
6557.62706	1965.71967
6556.65851	1967.05382
6548.76357	1983.35899
6654.56478	1921.69109
6815.81814	1880.54774
6856.30281	1879.31669
6932.29571	1866.95958
6773.08829	1896.79733
6638.61594	1933.58697
6686.57707	1908.93181
6613.71530	1948.74430
6972.78038	1865.72853
6884.67648	1876.57113
6619.29050	1938.41143
6681.00187	1919.26468
6762.36809	1901.58441
6732.33959	1901.68094
6793.41183	1890.15929
6723.73172	1903.01510
6705.90251	1904.10735
6904.00192	1871.74667
6921.57815	1870.44989
6805.10058	1884.03805
6667.03213	1919.44484
6613.71530	1948.74430
6599.74556	1948.92446
6884.67648	1876.57113
6692.43494	1908.93181
6663.17266	1920.35693
6923.68783	1868.29374
6587.27821	1951.17071
6932.29571	1866.95958
6723.73172	1903.01510
6769.76002	1900.78078
6772.11974	1898.13148
6695.18495	1907.59765
6801.77231	1888.02150
6794.38038	1888.82513
6769.76002	1900.78078
6624.91363	1936.24005
6921.57815	1870.44989
6923.68783	1868.29374
6895.39404	1873.08082
6893.28436	1875.23697
6814.84959	1881.88190
6904.00192	1871.74667
6893.28436	1875.23697
6895.39404	1873.08082
6595.88609	1949.83656
6697.29463	1905.44150
6619.29050	1938.41143
6623.94508	1937.57420
6703.15250	1905.44150
6638.61594	1933.58697
6801.77231	1888.02150
6595.88609	1949.83656
6686.57707	1908.93181
6630.00806	1934.92112
6635.86593	1934.92112
6804.13203	1885.37220
6556.65851	1967.05382
6557.62706	1965.71967
6805.09794	1885.33483
6794.38038	1888.82513
6793.41183	1890.15929
6772.11974	1898.13148
6773.08829	1896.79733
6630.00806	1934.92112
6804.12939	1886.66898
6815.81814	1880.54774
	
NSGA-II_3:	65
9770.22862	1964.74541
8355.13311	2148.87394
9602.80900	1971.79862
8358.28402	2106.82695
9291.21245	1974.50548
8363.55578	2087.95658
8367.05296	2075.59590
8380.05859	2057.95658
9620.09557	1970.60327
9752.94205	1965.94076
9035.33492	1994.02749
8920.12648	1994.09467
8811.34597	1997.89063
8749.81979	2002.42133
9199.71851	1977.10609
8828.63254	1996.69527
9263.67576	1976.28694
9143.53800	1981.82745
9182.43194	1978.30144
8732.17800	2012.00274
8732.53322	2003.61668
8892.58979	1995.87613
8429.38106	2053.51883
8397.34516	2056.76123
8664.24895	2013.61668
8635.98978	2022.32849
9046.35772	1993.93465
9064.72525	1987.55350
8486.64253	2043.61166
8596.10378	2027.63596
8692.55832	2012.32849
8504.10288	2041.73737
9047.43868	1988.74885
8585.08098	2027.72880
8437.32006	2048.04942
9103.61919	1984.02749
8653.36525	2017.72880
8465.62943	2046.76123
8435.81861	2051.73737
8522.89090	2036.85407
8554.92680	2033.61166
8606.98748	2023.52384
9120.90576	1982.83214
8505.60433	2038.04942
9047.43868	1988.74885
8448.34287	2047.95658
8561.36435	2031.83021
8811.34597	1997.89063
9752.94205	1965.94076
9602.80900	1971.79862
8624.27405	2022.32849
8681.53552	2012.42133
9770.22862	1964.74541
8675.27175	2013.52384
8749.81979	2002.42133
8902.83991	1995.29002
9103.61919	1984.02749
9620.09557	1970.60327
9273.92588	1975.70083
8578.65092	2030.63486
8493.08008	2041.83021
8561.36435	2031.83021
8454.60663	2046.85407
8522.89090	2036.85407
8902.83991	1995.29002
	
NSGA-II_4:	79
7919.59241	1920.03782
7039.25944	2245.08580
7045.64752	2141.36949
7044.07970	2222.08017
7470.80743	1950.68242
7543.22805	1949.74185
7650.41307	1930.61669
7790.40560	1923.88947
7862.82622	1922.94890
7722.83369	1929.67612
7268.42460	1980.63921
7739.69492	1925.60520
7913.53690	1921.23317
7059.31415	2097.91718
7099.83297	2050.05310
7099.21684	2051.28416
7274.48012	1979.44386
7048.98602	2123.08522
7046.26365	2140.13843
7102.55534	2032.99989
7223.76944	1981.15958
7599.70239	1932.33242
7644.35755	1931.81204
7784.35008	1925.08482
7077.13818	2060.79824
7062.03653	2080.86397
7420.09675	1952.39815
7868.88173	1921.75355
7464.75191	1951.87777
7311.41020	1978.21280
7117.65699	2012.93416
7144.30678	2001.15958
7044.07970	2222.08017
7043.30703	2235.57047
7593.64687	1933.52777
7364.54920	1963.38881
7184.94356	1983.45454
7217.71393	1982.35494
7397.31956	1962.28921
7069.67585	2064.36115
7056.44835	2119.52231
7056.62534	2106.58240
7110.01767	2029.43697
7110.19466	2016.49707
7069.49886	2077.30106
7412.07632	1960.16939
7581.05802	1938.83524
7177.48123	1987.01745
7058.69803	2099.14824
7572.58344	1945.27921
7056.62534	2106.58240
7403.37508	1961.09386
7414.04124	1953.59350
7170.86762	1992.42113
7351.03136	1968.14707
7549.28357	1948.54650
7554.03377	1946.86628
7040.74119	2240.36444
7357.08687	1966.95172
7048.98602	2123.08522
7102.55534	2032.99989
7110.01767	2029.43697
7324.92805	1973.45454
7317.46572	1977.01745
7345.85060	1972.59580
7358.49369	1964.58416
7157.82462	1996.40132
7184.94356	1983.45454
7169.46080	1994.78869
7572.58344	1945.27921
7560.08928	1945.67093
7338.44250	1973.45454
7171.42572	1988.21280
7041.35732	2239.13338
7150.36229	1999.96423
7345.90483	1969.89163
7733.63940	1926.80055
7728.88920	1928.48077
7650.41307	1930.61669
	
NSGA-II_5:	72
7633.73143	1889.20583
6973.81453	2052.26305
7006.73752	2019.53379
6980.66213	2037.60053
7207.30634	1942.10479
7264.46145	1941.59176
6996.38364	2037.16011
6996.97744	2024.65375
7448.70841	1911.18494
7416.02472	1915.02633
7559.26569	1898.82426
7020.51510	2008.21666
7592.43986	1894.38138
7481.88258	1906.74206
7523.17415	1901.56651
7045.05117	2001.35938
7625.12356	1890.53999
7514.56628	1902.90067
7365.40502	1920.33022
7299.54715	1928.61449
7340.83872	1923.43895
7004.19979	2021.16345
7170.25687	1960.78436
7165.12430	1966.82615
7055.77980	1994.90527
7069.95843	1987.95515
7364.43646	1921.66437
7103.53669	1981.06388
7323.78390	1928.51663
7029.30663	2004.43085
7273.16420	1933.82052
7296.21888	1932.59795
7473.27471	1908.07621
7403.36831	1919.13813
7389.64177	1920.23236
7104.50524	1979.72972
7143.74488	1970.28700
7089.23290	1986.23942
7457.31629	1909.85079
7203.00951	1947.42240
7119.64465	1975.45567
7269.83593	1937.80398
7046.01972	2000.02523
7051.23486	1997.86231
7070.92699	1986.62100
7125.43896	1970.66858
7272.19565	1935.15467
7124.47041	1972.00273
7144.71343	1968.95285
7122.11069	1974.65204
7090.20145	1984.90527
7405.72803	1916.48883
7337.51045	1927.42240
7116.73621	1978.43982
7158.49517	1967.60302
