param n=100;
param m=6;
param K = 18;
param Q = 60;
param L =38;
param HC:=
1 226.378
2 268.897
3 218.541
4 245.383
5 167.406
6 225.084;

param o:
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100:=
1	114.0175425	180.2775638	167.6305461	230.2172887	158.113883	94.33981132	50	202.2374842	205.1828453	67.08203932	222.0360331	241.8677324	178.0449381	184.3908891	152.3154621	130	181.1077028	85.44003745	269.2582404	80.62257748	111.8033989	113.137085	165.5294536	123.6931688	78.10249676	80.62257748	94.86832981	41.23105626	152.9705854	82.46211251	140.3566885	155.5634919	192.3538406	238.5372088	92.19544457	141.4213562	76.15773106	194.1648784	140.3566885	188.6796226	82.46211251	110	180.2775638	133.4166406	70.71067812	60.8276253	70.71067812	56.56854249	147.6482306	216.3330765	152.6433752	104.4030651	230.2172887	148.6606875	187.8829423	252.9822128	133.4166406	292.0616373	190	166.4331698	220.2271555	50	162.788206	60	28.28427125	208.0865205	36.05551275	100	104.4030651	120.8304597	219.544984	203.9607805	264.0075756	140	156.2049935	125.2996409	110	148.6606875	141.4213562	152.9705854	143.1782106	28.28427125	236.0084744	14.14213562	160	50	151.3274595	210.2379604	128.0624847	172.626765	180.2775638	182.4828759	156.2049935	50	172.626765	245.9674775	107.7032961	145.6021978	120.4159458	60
2	85.44003745	70.71067812	139.2838828	111.8033989	53.85164807	60	89.4427191	144.222051	76.15773106	120.8304597	101.9803903	178.8854382	42.42640687	80.62257748	36.05551275	130.3840481	134.5362405	178.8854382	152.9705854	56.56854249	63.2455532	30	80.62257748	89.4427191	63.2455532	70.71067812	80.62257748	126.4911064	117.0469991	90	94.86832981	30	136.0147051	121.6552506	63.2455532	104.4030651	117.0469991	130.3840481	76.15773106	53.85164807	67.08203932	114.0175425	152.3154621	111.8033989	80.62257748	101.9803903	143.1782106	138.9244399	22.36067977	80.62257748	20	110.4536102	192.0937271	42.42640687	60	162.788206	94.33981132	165.5294536	155.5634919	31.6227766	94.86832981	130.3840481	113.137085	178.0449381	134.5362405	90.55385138	139.2838828	50	82.46211251	30	110	138.9244399	139.2838828	85.44003745	22.36067977	58.30951895	80	133.4166406	143.1782106	106.3014581	100	143.1782106	100	138.9244399	136.0147051	144.222051	107.7032961	111.8033989	10	125.2996409	98.99494937	128.0624847	41.23105626	114.0175425	120.4159458	140	41.23105626	123.6931688	90.55385138	94.33981132
3	191.0497317	189.7366596	20	222.0360331	174.642492	155.5634919	147.6482306	264.1968963	181.1077028	100	212.1320344	299.6664813	141.4213562	72.80109889	92.19544457	44.72135955	252.3885893	139.2838828	260.7680962	114.0175425	170.2938637	136.0147051	201.246118	198.4943324	142.126704	156.2049935	176.9180601	183.8477631	10	178.0449381	28.28427125	148.6606875	30	231.9482701	86.02325267	22.36067977	90	250.5992817	44.72135955	130	94.33981132	212.6029163	31.6227766	30	98.48857802	174.9285568	111.8033989	120.4159458	104.4030651	151.3274595	114.0175425	60	310.6444913	82.46211251	110.4536102	281.6025568	206.1552813	260.7680962	272.0294102	121.6552506	200.9975124	120	230.2172887	162.788206	140.3566885	203.9607805	189.7366596	148.6606875	183.8477631	94.33981132	225.6102835	259.4224354	240	36.05551275	136.0147051	172.0465053	58.30951895	28.28427125	247.5883681	222.0360331	214.0093456	186.8154169	172.626765	174.642492	248.394847	130.3840481	14.14213562	230.8679276	125.2996409	10	44.72135955	246.9817807	161.5549442	178.8854382	238.5372088	254.9509757	92.19544457	22.36067977	44.72135955	104.4030651
4	100	156.5247584	143.1782106	205.9126028	134.1640786	72.80109889	30	190	178.0449381	50	197.2308292	230	148.6606875	152.9705854	120.8304597	108.1665383	170.2938637	90	245.9674775	50	92.19544457	86.02325267	145.6021978	110	53.85164807	60.8276253	80	50	126.4911064	70.71067812	111.8033989	128.0624847	164.924225	214.7091055	60.8276253	114.0175425	56.56854249	180.2775638	110	158.113883	50.99019514	104.4030651	156.5247584	107.7032961	40	53.85164807	63.2455532	50.99019514	116.6190379	186.0107524	122.0655562	80.62257748	223.6067977	117.0469991	156.5247584	235.3720459	120	266.2705391	182.4828759	136.0147051	194.1648784	41.23105626	150	76.15773106	31.6227766	183.5755975	53.85164807	76.15773106	90	89.4427191	196.977156	190.2629759	238.5372088	110.4536102	127.2792206	104.4030651	80.62257748	125.2996409	139.2838828	140	130	50.99019514	206.1552813	40	152.9705854	50	123.6931688	189.7366596	98.99494937	145.6021978	150	170	130.3840481	50	160	224.7220505	76.15773106	120.8304597	92.19544457	31.6227766
5	248.394847	246.9817807	42.42640687	276.5863337	232.594067	212.6029163	200	322.4903099	235.3720459	139.2838828	266.8332813	357.7708764	196.468827	120.4159458	148.6606875	76.15773106	310.6444913	160	314.0063694	169.7056275	228.035085	194.1648784	259.4224354	256.1249695	197.9898987	212.1320344	233.4523506	233.2380758	64.03124237	233.4523506	86.02325267	206.1552813	50	286.3564213	141.4213562	78.10249676	130	308.8689042	102.9563014	182.4828759	148.6606875	268.7005769	28.28427125	78.10249676	150	228.035085	143.1782106	155.241747	161.5549442	200.2498439	170.8800749	102.9563014	368.9173349	139.2838828	161.245155	338.3784863	264.0075756	310.1612484	330.1514804	177.2004515	254.9509757	158.113883	288.444102	191.0497317	180.2775638	259.6150997	237.0653918	206.1552813	240.8318916	152.6433752	281.6025568	317.6476035	291.5475947	94.33981132	193.1320792	230.2172887	113.137085	58.30951895	304.1381265	280.1785145	272.0294102	232.594067	220	219.317122	306.1045573	164.924225	72.11102551	287.923601	183.5755975	53.85164807	90.55385138	305.2867504	219.317122	230.2172887	296.8164416	310.4834939	150	64.03124237	98.99494937	152.6433752
6	56.56854249	110	262.488095	145.6021978	101.9803903	92.19544457	117.0469991	64.03124237	150	193.1320792	143.1782106	98.48857802	155.241747	219.544984	174.9285568	238.5372088	42.42640687	233.4523506	170	136.0147051	78.10249676	114.0175425	80	50	108.1665383	94.33981132	72.11102551	110	240.8318916	76.15773106	219.317122	126.4911064	269.0724809	148.6606875	164.0121947	226.715681	196.977156	64.03124237	205.1828453	177.2004515	158.113883	41.23105626	276.5863337	228.035085	161.245155	92.19544457	208.8061302	196.468827	161.245155	192.3538406	156.5247584	210.9502311	80	180.2775638	193.1320792	127.2792206	44.72135955	206.1552813	41.23105626	161.5549442	151.3274595	186.8154169	41.23105626	210.2379604	172.626765	131.5294644	120.4159458	98.99494937	64.03124237	156.2049935	126.4911064	70.71067812	180.2775638	212.1320344	139.2838828	80.62257748	192.0937271	250	14.14213562	40	41.23105626	130.3840481	200.2498439	140	14.14213562	194.1648784	233.4523506	107.7032961	130.3840481	254.5584412	236.0084744	50	114.0175425	100.4987562	44.72135955	138.9244399	155.5634919	242.0743687	206.1552813	165.5294536;

param cost:
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100:=
1	0	80.62257748	206.1552813	128.0624847	63.2455532	36.05551275	70	90	117.0469991	143.1782106	122.0655562	130	110	165.5294536	120.8304597	183.5755975	70.71067812	190	162.788206	80.62257748	22.36067977	58.30951895	56.56854249	10	53.85164807	41.23105626	20	80.62257748	184.3908891	31.6227766	162.788206	80	212.6029163	134.5362405	108.1665383	170.2938637	145.6021978	80.62257748	148.6606875	130.3840481	102.9563014	30	220.2271555	172.0465053	107.7032961	53.85164807	161.245155	150.3329638	107.7032961	150.3329638	104.4030651	156.5247584	126.4911064	125.2996409	143.1782106	139.2838828	20	192.0937271	85.44003745	111.8033989	125.2996409	140.3566885	50	172.626765	130.3840481	108.1665383	94.33981132	42.42640687	10	100	113.137085	90.55385138	164.0121947	155.5634919	90.55385138	30	136.0147051	194.1648784	58.30951895	40	30	102.9563014	162.788206	107.7032961	58.30951895	150	176.9180601	100	76.15773106	197.9898987	180.2775638	70	70.71067812	67.08203932	60	136.0147051	98.99494937	186.0107524	150	114.0175425
2	80.62257748	0	208.8061302	50	22.36067977	86.02325267	130.3840481	86.02325267	40	184.3908891	42.42640687	114.0175425	56.56854249	136.0147051	98.48857802	200.9975124	85.44003745	240.4163056	89.4427191	114.0175425	70.71067812	72.80109889	30	76.15773106	102.9563014	100	92.19544457	155.5634919	186.8154169	106.3014581	164.924225	41.23105626	201.246118	58.30951895	130.3840481	174.642492	182.4828759	72.11102551	145.6021978	78.10249676	131.5294644	107.7032961	221.3594362	182.4828759	143.1782106	127.2792206	206.1552813	199.2485885	85.44003745	85.44003745	76.15773106	180	136.0147051	107.7032961	98.99494937	92.19544457	72.80109889	113.137085	107.7032961	72.11102551	44.72135955	189.7366596	70.71067812	232.594067	187.8829423	28.28427125	169.7056275	80.62257748	86.02325267	100.4987562	41.23105626	78.10249676	84.85281374	155.241747	53.85164807	56.56854249	150.3329638	203.9607805	120.4159458	70	70.71067812	176.9180601	90.55385138	178.0449381	100.4987562	202.4845673	177.2004515	41.23105626	70	193.1320792	161.245155	76.15773106	30	141.4213562	72.80109889	70.71067812	110	194.1648784	161.245155	155.241747
3	206.1552813	208.8061302	0	241.8677324	193.1320792	170.2938637	158.113883	281.7800561	200.9975124	101.9803903	231.9482701	317.8049716	161.245155	92.19544457	111.8033989	40	269.2582404	133.4166406	280.713377	127.2792206	186.0107524	152.6433752	219.317122	214.0093456	155.5634919	169.7056275	191.0497317	192.3538406	22.36067977	191.0497317	44.72135955	167.6305461	36.05551275	251.7935662	98.99494937	36.05551275	92.19544457	268.3281573	63.2455532	150	106.3014581	226.27417	14.14213562	36.05551275	108.1665383	186.0107524	110	120.4159458	123.6931688	171.1724277	133.4166406	63.2455532	327.5667871	101.9803903	130.3840481	300.8321791	222.0360331	280.713377	288.444102	141.4213562	220.9072203	121.6552506	246.9817807	160.3121954	143.1782106	223.6067977	196.977156	164.0121947	198.4943324	111.8033989	245.1530134	277.3084925	260	53.85164807	155.241747	188.6796226	70.71067812	20	261.7250466	238.5372088	230.2172887	193.1320792	192.3538406	180.2775638	264.0075756	130.3840481	31.6227766	250	143.1782106	22.36067977	63.2455532	264.1968963	180.2775638	188.6796226	255.5386468	274.5906044	108.1665383	22.36067977	56.56854249	111.8033989
